text,sentiment
wesley83 3g iphon 3 hr tweet riseaustin dead need upgrad plugin station sxsw,0
jessed know fludapp awesom ipadiphon app youll like appreci design also theyr give free sxsw,4
swonderlin wait ipad 2 also sale sxsw,4
sxsw hope year festiv isnt crashi year iphon app sxsw,0
sxtxstate great stuff fri sxsw marissa mayer googl tim oreilli tech booksconf amp matt mullenweg wordpress,4
teachntech00 new ipad app speechtherapi commun showca sxsw confer httphtly49n4m iear edchat asd,2
sxsw start ctia around corner googleio hop skip jump good time android fan,4
beauti smart simpl idea rt madebymani thenextweb write hollergram ipad app sxsw httpbitlyieavob,4
count day sxsw plu strong canadian dollar mean stock appl gear,4
excit meet samsungmobileu sxsw show sprint galaxi still run android 21 fail,4
find amp start impromptu parti sxsw hurricaneparti httpbitlygvlrin cant wait til android app come,4
foursquar game time sxsw httpjmpgrn7pk still prefer gowalla far best look android app date,4
gotta love sxsw googl calendar featur top parti show case check rt hamsandwich via ischaf gthttpbitlyaxzwxb,4
great sxsw ipad app madebymani httptinyurlcom4nqv92l,4
haha awesom rad ipad app madebymani httpbitlyhtdfim hollergram sxsw,4
holler gram ipad itun app store httptcokfn3f5q via marcisken sxsw,2
notic dst come weekend mani iphon user hour late sxsw come sunday morn sxsw iphon,0
ad sxsw flight plane match peopl planesairport also download klm iphon app nice,4
must sxsw app rt malbonst love review forb sxsw ipad app holler gram httptcog4gzypv,4
need buy ipad2 im austin sxsw sure ill need q austin appl store,4
oh god sxsw app ipad pure unadult awesom easier brow event ipad websit,4
okay realli yay new foursquar android app11 kthxbai sxsw,4
photo instal sxsw iphon app realli nice httptumblrcomx6t1pi6av7,4
realli enjoy chang gowalla 30 android look forward see el amp foursquar sleev sxsw,4
rt laurieshook im look forward smcdalla pre sxsw parti wed hope ill win ipad result shameless promot chevysmc,4
rt haha awesom rad ipad app madebymani httpbitlyhtdfim hollergram sxsw via michaelpiliero,4
someon start austin partnerhub group googl group presxsw great idea,4
new 4sq3 look like go rock updat iphon android push tonight httpbitlyetsbzk sxsw keepaustinweird,4
right gowalla 3 app android sweeeeet nice job team sxsw,4
smart madebymani hollergram ipad app sxsw httptcoa3xvwc6 may leav vuvuzela home,4
must app ipad go sxsw httpitunesapplecomusapphollergramid420666439mt8 hollergram,4
attn sxsw frine mention regist gdgtlive see cobra iradar android link,2
anyon sxsw want sell old ipad,2
anyon sxsw buy new ipad want sell old ipad,2
sxsw oooh rt mention googl launch major new social network call circl possibl today link,2
best rt mention ha first line ipad2 sxsw quotpopupquot appl store event planner eventprof pcma engage365,4
spin play new concept music discoveri ipad mention amp spincom link itun sxsw mention,2
mention fal alarm googl circl come now‰ûòand probabl ever link googl circl social sxsw,0
vatornew googl appl forc print medium evolv link sxsw,2
mention great weather greet sxsw still need sweater nightappl put quotflash storequot downtown sell ipad2,4
hootsuit hootsuit mobil sxsw updat iphon blackberri amp android whether you‰ûªr get friend link,2
hey sxsw long think take you make iphon case answer mention use zazzlesxsw we‰ûªll make one,2
mashabl ipad 2 take sxsw video ipad sxsw gadget link,2
ipad rt mention new ubersoci iphon app store includ uberguid sxsw sponsor link,2
ipad2 ‰û÷smartcover‰ûª open instant access wait get one link appl sxsw,4
handheld ‰û÷hobo‰ûª drafthou launch ‰û÷hobo shotgun‰ûª iphon app sxsw link,4
hooray rt ‰ûïmention appl open popup store austin sxsw mention link,4
orli ‰ûïmention googl set launch new social network circl today sxsw‰û�,2
wooooo ‰ûïmention appl store downtown austin open til midnight sxsw‰û�,4
khoi vinh mention say cond nast headlong rush ipad publish quotfunda misunderstandingquot platform sxsw,2
‰ûïmention link lt help forward doc anonym account techiesamp ppl help you jam libya sxsw,2
‰÷¼ ‰÷ link ‰ã edchat musedchat sxsw sxswi classic newtwitt,2
mention mention locationba fast fun futur link via mention sxsw,2
‰ûïmention mention googl connect digit amp physic world mobil link sxsw‰û� mention,2
‰ûïmention mention talk link googl effort allow user open system bettercloud sxsw‰û�,4
link rt mention quotgoogl tweetquot new quotthink speakquot mark belinski 911tweet panel sxsw,2
link rt mention 1st stop sxsw chao amp mention hunt austin java get spi game 4 chanc 2 win ipad,4
link rt mention sxsw check holler gram ipad app mention link,2
mention mention amp mention fun googl pic sxsw link,2
quotvia mention link guy kawasaki talk enchant sxsw know stuff book internet appl sxsw quot,2
futuremf mention link spec recip web googl search link sxsw,2
omfg rt mention heard appl popup store downtown austin pic alreadi gowalla link sxsw ipad2,4
smile rt mention think appl quotpopup storequot austin would lot interest actual know pop sxsw,2
rt mention line appl store insan sxsw,0
agr rt mention wait fiona appl town somebodi kidnap put record studio record new album sxsw,2
sxsw mention mention wanna buy drink 7pm fado 4th link join you,2
attend mention ipad design headach sxsw link,0
boooo rt mention flipboard develop iphon version android say mention sxsw,0
check mention mention amp mention line ipad 2 austin power sxswi sxsw link,4
check rt mention give ad valu locat base servic need battl checkin fatigu googl pnid sxsw,2
chilcott mention sxsw stand talk blogger staff late win competit best tweet mention mention tshirt,2
rt mention come parti w googl tonight sxsw link band food art ice cream nifti interact map,4
gowalla mention promi launch foursquar checkin groupon rewardstyp servic sxsw finger cross link,2
haha rt mention sxsw news yahoocom loo search traffic new site googlecom doubt last tho w weird name,2
holla rt mention googl parti best ever get butt sxsw,4
love mention iphon case sxsw cant get phone fail,4
worship mention link sxsw,2
ipad2 rt mention droid amp mac rt mention agnerd confess use laptop ipad amp blackberri follow sxsw,2
launch mention sxsw rt mention mention deni social network call circl debut today despit report link,2
new post mention iphon app make easi connect social network peopl meet link sxsw,4
nice mention iphon app behav today crash yesterday ridicul sxsw,4
nice rt mention appl open popup store ipad launch downtown austin sxsw link via mention,2
nice rt mention hey appl fan get peek space slate popup sxsw appl store tomorrow link,4
one thing mention great get great earth face googl compani love sxsw sxwsi,4
stay tune mention showca h4cker link sxsw,2
thank mention mention touchingstori preso sxsw deck link,2
thank mention awesom sxsw parti link,2
thank rt mention tri contact friend famili japan mention creat person finder link sxsw,2
thank mention mention new speech ipad app showca sxsw conf link sxswh sxsh,4
thank mention publish news mention new medic app sxswi conf blog link sxsw sxswh,2
thank mention publish news new medic app sxswi conf blog link sxsw sxswh mhealth,2
mention sxsw provid iphon charger ive chang mind go next year,0
wonder mention amp mention appl flashmob tcrnchfcs45j sxsw ipad2,2
wonder mention put tip mention api sxsw suxsw,2
xma rt mention shini new mention mention mention app new garyv book popup ipad 2 store sxsw christma nerd,4
yai rt mention new ubersoci iphon app store includ uberguid sxsw sponsor cont link,4
ye rt mention hey mention ive get anoth gem gt free mention sxsw link sxsw,2
fast fun amp futur mention googl present sxsw search local mobil,4
gsdampm amp googl industri parti tonight mention see you link sxsw austin weliveh gsdm,2
new buzz quotment googl launch major new social network call circl possibl today link rt mention sxswquot,2
headlin quotipad 2 musthav gadget sxswquot hmm could see one come link gadget,4
‰ûïmention quotappl open popup store austin nerd town sxsw get new ipad link wow,2
know quotdatavizquot translat quotsatanicquot iphon im sayin sxsw,0
mention quotgoogl launch checkin month agoquot check ok check futur sxsw bizzi,4
mention quotgoogl launch checkin month agoquot check ok check futur sxsw bizzi via mention,2
‰ûïmention quotgoogl tweetquot new quotthink speakquot mark belinski 911tweet panel sxsw‰û�,4
attend quotleft brain search googl right brain search xquot bettersearch talk futur search engin sxsw,2
hp open quotmobil parkquot amp content incub sxsw link appl construct quotpopupquot store link,2
kawasaki quotnot c lewi level reason appl continu exist evid exist godquot bawl sxsw,4
kawasaki quotpagemak save applequot oh day sxsw jwtatl enchant,2
